iter	Passed	Remaining
0	4	2424
1	9	2421
2	14	2358
3	19	2362
4	23	2359
5	28	2358
6	33	2347
7	37	2332
8	42	2316
9	47	2316
10	51	2308
11	56	2290
12	61	2297
13	66	2299
14	70	2293
15	75	2286
16	80	2281
17	84	2275
18	89	2272
19	94	2274
20	99	2274
21	104	2263
22	108	2257
23	113	2255
24	118	2246
25	122	2240
26	127	2235
27	132	2228
28	137	2225
29	141	2222
30	146	2217
31	151	2210
32	155	2204
33	160	2201
34	165	2194
35	169	2190
36	175	2190
37	179	2186
38	184	2181
39	189	2177
40	193	2170
41	198	2168
42	203	2162
43	208	2156
44	212	2150
45	217	2145
46	222	2140
47	226	2135
48	231	2132
49	236	2127
50	240	2121
51	245	2117
52	250	2112
53	255	2109
54	259	2102
55	264	2097
56	269	2093
57	273	2085
58	278	2081
59	283	2078
60	288	2072
61	292	2068
62	297	2065
63	302	2064
64	307	2060
65	312	2056
66	317	2050
67	321	2044
68	326	2039
69	331	2035
70	336	2030
71	341	2027
72	345	2023
73	350	2016
74	355	2012
75	359	2007
76	364	2002
77	369	1998
78	374	1994
79	378	1988
80	383	1983
81	388	1978
82	392	1974
83	397	1969
84	402	1966
85	408	1964
86	413	1960
87	417	1955
88	422	1950
89	427	1949
90	433	1946
91	438	1942
92	443	1940
93	448	1936
94	453	1932
95	458	1927
96	462	1923
97	467	1918
98	472	1913
99	477	1908
100	482	1904
101	486	1899
102	492	1896
103	497	1894
104	502	1890
105	507	1884
106	512	1881
107	516	1876
108	522	1872
109	527	1868
110	531	1864
111	536	1858
112	541	1853
113	545	1848
114	550	1844
115	556	1841
116	561	1837
117	566	1833
118	571	1830
119	577	1827
120	582	1824
121	587	1820
122	592	1817
123	598	1813
124	603	1809
125	608	1806
126	613	1802
127	618	1798
128	623	1794
129	629	1790
130	634	1786
131	639	1783
132	644	1779
133	649	1774
134	654	1770
135	660	1766
136	664	1761
137	669	1757
138	674	1752
139	680	1749
140	685	1744
141	690	1739
142	695	1736
143	700	1731
144	705	1726
145	710	1721
146	715	1717
147	720	1713
148	725	1709
149	730	1705
150	736	1701
151	741	1696
152	746	1692
153	750	1687
154	756	1683
155	761	1678
156	765	1673
157	770	1668
158	775	1663
159	780	1658
160	785	1653
161	789	1648
162	795	1643
163	799	1638
164	804	1634
165	809	1629
166	814	1624
167	819	1619
168	824	1615
169	830	1611
170	835	1606
171	839	1601
172	844	1596
173	849	1592
174	854	1587
175	859	1582
176	865	1578
177	870	1574
178	874	1568
179	879	1564
180	884	1558
181	889	1554
182	894	1548
183	898	1543
184	903	1538
185	908	1533
186	913	1529
187	918	1524
188	923	1519
189	928	1514
190	933	1509
191	937	1504
192	942	1499
193	947	1494
194	952	1489
195	956	1483
196	961	1478
197	965	1473
198	970	1467
199	989	1484
200	994	1479
201	1000	1475
202	1004	1470
203	1012	1468
204	1019	1467
205	1026	1464
206	1033	1462
207	1038	1458
208	1045	1456
209	1051	1451
210	1056	1447
211	1062	1443
212	1068	1439
213	1073	1434
214	1079	1430
215	1084	1425
216	1090	1421
217	1095	1416
218	1100	1411
219	1105	1407
220	1111	1403
221	1116	1398
222	1121	1393
223	1127	1388
224	1132	1384
225	1137	1379
226	1143	1374
227	1148	1370
228	1154	1365
229	1159	1360
230	1164	1356
231	1169	1351
232	1175	1346
233	1180	1341
234	1185	1337
235	1191	1332
236	1196	1327
237	1201	1322
238	1207	1318
239	1212	1314
240	1218	1309
241	1224	1304
242	1229	1299
243	1234	1295
244	1240	1290
245	1245	1286
246	1251	1281
247	1256	1276
248	1262	1272
249	1267	1267
250	1272	1262
251	1277	1257
252	1283	1252
253	1288	1248
254	1294	1243
255	1298	1237
256	1303	1232
257	1308	1227
258	1313	1222
259	1318	1217
260	1323	1212
261	1328	1207
262	1333	1202
263	1339	1197
264	1344	1192
265	1349	1186
266	1353	1181
267	1358	1176
268	1364	1171
269	1369	1166
270	1373	1161
271	1379	1156
272	1384	1151
273	1389	1145
274	1394	1140
275	1399	1135
276	1404	1130
277	1409	1125
278	1415	1120
279	1420	1115
280	1424	1110
281	1430	1105
282	1435	1100
283	1440	1095
284	1445	1090
285	1450	1085
286	1455	1080
287	1460	1075
288	1465	1070
289	1470	1065
290	1475	1059
291	1480	1054
292	1485	1049
293	1491	1044
294	1496	1039
295	1501	1034
296	1506	1029
297	1511	1024
298	1516	1019
299	1521	1014
300	1526	1009
301	1531	1004
302	1536	999
303	1541	993
304	1546	988
305	1550	982
306	1555	977
307	1560	972
308	1564	967
309	1569	961
310	1573	956
311	1578	951
312	1583	945
313	1588	940
314	1593	935
315	1597	930
316	1602	925
317	1607	920
318	1612	914
319	1617	909
320	1622	904
321	1627	899
322	1631	894
323	1636	889
324	1641	883
325	1646	878
326	1651	873
327	1656	868
328	1660	863
329	1665	857
330	1670	852
331	1675	847
332	1679	842
333	1684	837
334	1689	832
335	1694	826
336	1698	821
337	1703	816
338	1708	811
339	1713	806
340	1717	800
341	1722	795
342	1727	790
343	1732	785
344	1737	780
345	1742	775
346	1747	770
347	1752	765
348	1757	760
349	1761	754
350	1766	749
351	1771	744
352	1775	739
353	1780	734
354	1785	729
355	1789	724
356	1794	718
357	1799	713
358	1804	708
359	1809	703
360	1813	698
361	1818	693
362	1823	688
363	1828	683
364	1833	678
365	1838	673
366	1842	667
367	1847	662
368	1852	657
369	1857	652
370	1861	647
371	1866	642
372	1871	637
373	1875	631
374	1880	626
375	1885	621
376	1889	616
377	1894	611
378	1899	606
379	1904	601
380	1908	596
381	1913	591
382	1918	586
383	1923	580
384	1928	575
385	1933	571
386	1938	565
387	1943	561
388	1948	555
389	1952	550
390	1957	545
391	1962	540
392	1967	535
393	1972	530
394	1977	525
395	1981	520
396	1986	515
397	1991	510
398	1996	505
399	2000	500
400	2005	495
401	2010	490
402	2015	485
403	2020	480
404	2026	475
405	2031	470
406	2036	465
407	2041	460
408	2046	455
409	2051	450
410	2056	445
411	2062	440
412	2067	435
413	2072	430
414	2077	425
415	2082	420
416	2087	415
417	2092	410
418	2097	405
419	2102	400
420	2107	395
421	2112	390
422	2117	385
423	2122	380
424	2127	375
425	2131	370
426	2136	365
427	2142	360
428	2147	355
429	2152	350
430	2157	345
431	2162	340
432	2167	335
433	2172	330
434	2177	325
435	2182	320
436	2187	315
437	2192	310
438	2198	305
439	2203	300
440	2208	295
441	2213	290
442	2218	285
443	2223	280
444	2228	275
445	2233	270
446	2238	265
447	2243	260
448	2248	255
449	2253	250
450	2258	245
451	2263	240
452	2268	235
453	2273	230
454	2278	225
455	2284	220
456	2289	215
457	2294	210
458	2298	205
459	2304	200
460	2309	195
461	2314	190
462	2319	185
463	2324	180
464	2329	175
465	2334	170
466	2339	165
467	2344	160
468	2349	155
469	2354	150
470	2359	145
471	2364	140
472	2369	135
473	2374	130
474	2379	125
475	2384	120
476	2389	115
477	2395	110
478	2399	105
479	2404	100
480	2410	95
481	2414	90
482	2420	85
483	2425	80
484	2430	75
485	2435	70
486	2440	65
487	2445	60
488	2451	55
489	2455	50
490	2461	45
491	2466	40
492	2471	35
493	2475	30
494	2481	25
495	2486	20
496	2491	15
497	2496	10
498	2501	5
499	2505	0
